regime,dataset_seed,T,tau,dimension,bad_coordinate,eta,radius_r,empirical_risk,population_lower_certificate,lower_scale_eta2_r2_T,certificate_to_lower_scale,suffix_norm
saturated_eta_r_sqrtT,6,128,24,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.02605662485375947,0.24999999999999994,0.10422649941503791,0.3228426586030075
saturated_eta_r_sqrtT,6,128,25,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.026363959276900738,0.24999999999999994,0.10545583710760298,0.32474100435027164
saturated_eta_r_sqrtT,6,128,26,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.026671293862796475,0.24999999999999994,0.10668517545118593,0.3266283181997637
saturated_eta_r_sqrtT,6,128,27,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.02697862861623357,0.24999999999999994,0.1079145144649343,0.32850479032086344
saturated_eta_r_sqrtT,6,128,28,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.02728596354218849,0.24999999999999994,0.10914385416875398,0.3303706054835602
saturated_eta_r_sqrtT,6,128,29,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.027593298645836786,0.24999999999999994,0.11037319458334717,0.33222594327079175
saturated_eta_r_sqrtT,6,128,30,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.027900633932563097,0.24999999999999994,0.11160253573025242,0.3340709782801741
saturated_eta_r_sqrtT,6,128,31,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.028207969407971857,0.24999999999999994,0.11283187763188746,0.33590588031576285
saturated_eta_r_sqrtT,6,128,32,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.028515305077898602,0.24999999999999994,0.11406122031159444,0.33773081457044246
saturated_eta_r_sqrtT,6,128,33,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.02882264094842201,0.24999999999999994,0.11529056379368807,0.3395459417994982
saturated_eta_r_sqrtT,6,128,34,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.029129977025876733,0.24999999999999994,0.11651990810350696,0.3413514184858869
saturated_eta_r_sqrtT,6,128,35,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.02943731331686694,0.24999999999999994,0.11774925326746778,0.34314739699768665
saturated_eta_r_sqrtT,6,128,36,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.02974464982828089,0.24999999999999994,0.11897859931312359,0.34493402573817467
saturated_eta_r_sqrtT,6,128,37,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03005198656730631,0.24999999999999994,0.12020794626922526,0.3467114492889518
saturated_eta_r_sqrtT,6,128,38,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.030359323541446867,0.24999999999999994,0.1214372941657875,0.3484798085465034
saturated_eta_r_sqrtT,6,128,39,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.030666660758539736,0.24999999999999994,0.12266664303415897,0.3502392408525623
saturated_eta_r_sqrtT,6,128,40,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.030973998226774324,0.24999999999999994,0.12389599290709732,0.35198988011861576
saturated_eta_r_sqrtT,6,128,41,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03128133595471229,0.24999999999999994,0.12512534381884918,0.3537318569448747
saturated_eta_r_sqrtT,6,128,42,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.031588673951308884,0.24999999999999994,0.12635469580523556,0.3554652987340054
saturated_eta_r_sqrtT,6,128,43,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.031896012225935966,0.24999999999999994,0.1275840489037439,0.3571903297999038
saturated_eta_r_sqrtT,6,128,44,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.032203350788406346,0.24999999999999994,0.1288134031536254,0.3589070714717747
saturated_eta_r_sqrtT,6,128,45,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03251068964900017,0.24999999999999994,0.1300427585960007,0.360615642193764
saturated_eta_r_sqrtT,6,128,46,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.032818028818492946,0.24999999999999994,0.1312721152739718,0.36231615762037434
saturated_eta_r_sqrtT,6,128,47,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03312536830818588,0.24999999999999994,0.13250147323274356,0.3640087307078825
saturated_eta_r_sqrtT,6,128,48,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03343270812993824,0.24999999999999994,0.13373083251975298,0.365693471801963
saturated_eta_r_sqrtT,6,128,49,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03374004829620224,0.24999999999999994,0.13496019318480898,0.3673704887217114
saturated_eta_r_sqrtT,6,128,50,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.0340473888200606,0.24999999999999994,0.13618955528024243,0.36903988684024736
saturated_eta_r_sqrtT,6,128,51,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.034354729715266964,0.24999999999999994,0.13741891886106788,0.3707017691620692
saturated_eta_r_sqrtT,6,128,52,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.034662070996289436,0.24999999999999994,0.13864828398515777,0.37235623639732146
saturated_eta_r_sqrtT,6,128,53,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03496941267835758,0.24999999999999994,0.13987765071343033,0.3740033870331264
saturated_eta_r_sqrtT,6,128,54,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03527675477751325,0.24999999999999994,0.14110701911005302,0.37564331740212437
saturated_eta_r_sqrtT,6,128,55,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.035584097310665364,0.24999999999999994,0.14233638924266148,0.3772761217483578
saturated_eta_r_sqrtT,6,128,56,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.035891440295649446,0.24999999999999994,0.1435657611825978,0.378901892290627
saturated_eta_r_sqrtT,6,128,57,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03619878375129176,0.24999999999999994,0.14479513500516708,0.3805207192834409
saturated_eta_r_sqrtT,6,128,58,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03650612769747932,0.24999999999999994,0.1460245107899173,0.38213269107567527
saturated_eta_r_sqrtT,6,128,59,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.036813472155235484,0.24999999999999994,0.14725388862094196,0.38373789416705006
saturated_eta_r_sqrtT,6,128,60,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.037120817146802376,0.24999999999999994,0.14848326858720953,0.3853364132625279
saturated_eta_r_sqrtT,6,128,61,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.037428162695730446,0.24999999999999994,0.1497126507829218,0.3869283313247325
saturated_eta_r_sqrtT,6,128,62,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03773550882697617,0.24999999999999994,0.1509420353079047,0.38851372962448166
saturated_eta_r_sqrtT,6,128,63,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.038042855567008545,0.24999999999999994,0.1521714222680342,0.3900926877895231
saturated_eta_r_sqrtT,6,128,64,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.0383502029439254,0.24999999999999994,0.15340081177570164,0.39166528385155835
saturated_eta_r_sqrtT,6,128,65,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03865755098758071,0.24999999999999994,0.15463020395032287,0.39323159429163757
saturated_eta_r_sqrtT,6,128,66,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.038964899729723924,0.24999999999999994,0.15585959891889573,0.39479169408400155
saturated_eta_r_sqrtT,6,128,67,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03927224920415282,0.24999999999999994,0.15708899681661131,0.3963456567384478
saturated_eta_r_sqrtT,6,128,68,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03957959944688149,0.24999999999999994,0.158318397787526,0.39789355434129126
saturated_eta_r_sqrtT,6,128,69,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.03988695049632489,0.24999999999999994,0.15954780198529958,0.39943545759499083
saturated_eta_r_sqrtT,6,128,70,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.04019430239350241,0.24999999999999994,0.16077720957400968,0.40097143585650824
