regime,dataset_seed,sampling_attempts,n,T,dimension,bad_coordinate,eta,beta,radius_r,eta_r_sqrtT,theorem_radius_condition,initial_gradient_norm,min_nonzero_gradient_norm,first_update_gate,chain_gate,unit_ball_gate,max_iterate_norm,wstar_empirical_risk,max_suffix_empirical_risk,sam_empirical_upper_envelope,min_suffix_population_lower_certificate,max_suffix_population_lower_certificate,min_certificate_to_lower_scale,lower_scale_eta2_r2_T
saturated_eta_r_sqrtT,8,1,6,32,2049,14,0.041666666666666664,6.0,2.1213203435596424,0.5,True,1.4585183004101746e-17,1.4585183004101746e-17,True,True,True,0.4708199219357378,0.0,0.0,107.99999999999997,0.017060965738454833,0.05541696696087409,0.06824386295381935,0.24999999999999994
saturated_eta_r_sqrtT,9,1,6,32,2049,32,0.041666666666666664,6.0,2.1213203435596424,0.5,True,1.566568250914902e-17,1.566568250914902e-17,True,True,True,0.4708199213147028,0.0,0.0,107.99999999999997,0.01706096559373705,0.05541696681143429,0.06824386237494821,0.24999999999999994
saturated_eta_r_sqrtT,0,3,6,64,4097,21,0.041666666666666664,6.0,1.5,0.5,True,4.514325313707137e-19,4.514325313707137e-19,True,True,True,0.47838153946160694,0.0,0.0,54.0,0.018335478588706502,0.057211782931325665,0.07334191435482601,0.25
saturated_eta_r_sqrtT,1,3,6,64,4097,15,0.041666666666666664,6.0,1.5,0.5,True,4.712262455290244e-19,4.712262455290244e-19,True,True,True,0.47838153936758826,0.0,0.0,54.0,0.01833547856604501,0.05721178290833877,0.07334191426418003,0.25
saturated_eta_r_sqrtT,2,4,6,64,4097,2,0.041666666666666664,6.0,1.5,0.5,True,4.83522309150809e-19,4.83522309150809e-19,True,True,True,0.478381539313059,0.0,0.0,54.0,0.018335478552901716,0.057211782895006745,0.07334191421160687,0.25
saturated_eta_r_sqrtT,3,1,6,64,4097,6,0.041666666666666664,6.0,1.5,0.5,True,4.535941137387756e-19,4.535941137387756e-19,True,True,True,0.4783815394509405,0.0,0.0,54.0,0.018335478586135545,0.057211782928717786,0.07334191434454218,0.25
saturated_eta_r_sqrtT,4,2,6,64,4097,2,0.041666666666666664,6.0,1.5,0.5,True,4.780966576230694e-19,4.780966576230694e-19,True,True,True,0.4783815393367743,0.0,0.0,54.0,0.01833547855861787,0.05721178290080498,0.07334191423447148,0.25
saturated_eta_r_sqrtT,5,4,6,64,4097,28,0.041666666666666664,6.0,1.5,0.5,True,4.701892606121638e-19,4.701892606121638e-19,True,True,True,0.47838153937231737,0.0,0.0,54.0,0.018335478567184878,0.057211782909495,0.07334191426873951,0.25
saturated_eta_r_sqrtT,6,1,6,64,4097,11,0.041666666666666664,6.0,1.5,0.5,True,4.732974372570334e-19,4.732974372570334e-19,True,True,True,0.4783815393582047,0.0,0.0,54.0,0.01833547856378328,0.05721178290604456,0.07334191425513312,0.25
saturated_eta_r_sqrtT,7,3,6,64,4097,53,0.041666666666666664,6.0,1.5,0.5,True,4.895574681695458e-19,4.895574681695458e-19,True,True,True,0.47838153928729704,0.0,0.0,54.0,0.01833547854669226,0.05721178288870813,0.07334191418676904,0.25
saturated_eta_r_sqrtT,8,1,6,64,4097,14,0.041666666666666664,6.0,1.5,0.5,True,4.561058058341103e-19,4.561058058341103e-19,True,True,True,0.47838153943867334,0.0,0.0,54.0,0.018335478583178785,0.05721178292571857,0.07334191433271514,0.25
saturated_eta_r_sqrtT,9,1,6,64,4097,32,0.041666666666666664,6.0,1.5,0.5,True,4.898900329569161e-19,4.898900329569161e-19,True,True,True,0.47838153928589594,0.0,0.0,54.0,0.01833547854635454,0.057211782888365564,0.07334191418541816,0.25
saturated_eta_r_sqrtT,0,3,6,128,8193,21,0.041666666666666664,6.0,1.0606601717798212,0.5,True,1.4112240057224018e-20,1.4112240057224018e-20,True,True,True,0.4821178776807705,0.0,0.0,26.999999999999993,0.018994738307047777,0.0581091912952846,0.07597895322819112,0.24999999999999994
saturated_eta_r_sqrtT,1,3,6,128,8193,15,0.041666666666666664,6.0,1.0606601717798212,0.5,True,1.4730959601625853e-20,1.4730959601625853e-20,True,True,True,0.48211787765745046,0.0,0.0,26.999999999999993,0.01899473830133998,0.05810919128953849,0.07597895320535994,0.24999999999999994
saturated_eta_r_sqrtT,2,4,6,128,8193,2,0.041666666666666664,6.0,1.0606601717798212,0.5,True,1.5115327882369477e-20,1.5115327882369477e-20,True,True,True,0.48211787764392466,0.0,0.0,26.999999999999993,0.01899473829802942,0.05810919128620571,0.0759789531921177,0.24999999999999994
saturated_eta_r_sqrtT,3,1,6,128,8193,6,0.041666666666666664,6.0,1.0606601717798212,0.5,True,1.4179815167560853e-20,1.4179815167560853e-20,True,True,True,0.48211787767812453,0.0,0.0,26.999999999999993,0.018994738306400156,0.058109191294632635,0.07597895322560064,0.24999999999999994
saturated_eta_r_sqrtT,4,2,6,128,8193,2,0.041666666666666664,6.0,1.0606601717798212,0.5,True,1.4945721430795994e-20,1.4945721430795994e-20,True,True,True,0.4821178776498073,0.0,0.0,26.999999999999993,0.018994738299469252,0.0581091912876552,0.07597895319787702,0.24999999999999994
saturated_eta_r_sqrtT,5,4,6,128,8193,28,0.041666666666666664,6.0,1.0606601717798212,0.5,True,1.4698509621522076e-20,1.4698509621522076e-20,True,True,True,0.48211787765862474,0.0,0.0,26.999999999999993,0.01899473830162739,0.05810919128982783,0.07597895320650958,0.24999999999999994
saturated_eta_r_sqrtT,6,1,6,128,8193,11,0.041666666666666664,6.0,1.0606601717798212,0.5,True,1.4795709159692335e-20,1.4795709159692335e-20,True,True,True,0.4821178776551227,0.0,0.0,26.999999999999993,0.01899473830077025,0.05810919128896493,0.07597895320308101,0.24999999999999994
saturated_eta_r_sqrtT,7,3,6,128,8193,53,0.041666666666666664,6.0,1.0606601717798212,0.5,True,1.530393807566885e-20,1.530393807566885e-20,True,True,True,0.48211787763753605,0.0,0.0,26.999999999999993,0.01899473829646575,0.05810919128463154,0.07597895318586301,0.24999999999999994
saturated_eta_r_sqrtT,8,1,6,128,8193,14,0.041666666666666664,6.0,1.0606601717798212,0.5,True,1.4258291680511514e-20,1.4258291680511514e-20,True,True,True,0.48211787767508324,0.0,0.0,26.999999999999993,0.018994738305655758,0.058109191293883235,0.07597895322262305,0.24999999999999994
