n,dimension,dataset_seed,sampling_attempts,unseen_coordinate,unseen_coordinate_count,rho,radius_r,regime,flat_empirical_risk,flat_saer_exact,global_saer_lower_exact,flat_population_risk_exact,flat_population_risk_mc_8192,flat_population_mc_se,sharp_population_risk_exact,population_gap_exact,flat_is_saer_minimizer,flat_is_r_flat_when_r_le_rho
6,65,10,1,15,3,0.1,0.05,inside_flat_basin,0.0,0.0,0.0,0.2025,0.20057189941406256,0.0022373651929737844,0.0,0.2025,True,True
6,65,10,1,15,3,0.1,0.1,at_flat_radius,0.0,0.0,0.0,0.2025,0.20057189941406256,0.0022373651929737844,0.0,0.2025,True,True
6,65,10,1,15,3,0.1,0.30000000000000004,outside_flat_basin,0.0,0.020000000000000007,0.020000000000000007,0.2025,0.20057189941406256,0.0022373651929737844,0.0,0.2025,True,False
6,65,10,1,15,3,0.25,0.125,inside_flat_basin,0.0,0.0,0.0,0.140625,0.13928604125976562,0.001553725828454017,0.0,0.140625,True,True
6,65,10,1,15,3,0.25,0.25,at_flat_radius,0.0,0.0,0.0,0.140625,0.13928604125976562,0.001553725828454017,0.0,0.140625,True,True
6,65,10,1,15,3,0.25,0.45,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.140625,0.13928604125976562,0.001553725828454017,0.0,0.140625,True,False
6,65,10,1,15,3,0.5,0.25,inside_flat_basin,0.0,0.0,0.0,0.0625,0.0619049072265625,0.0006905448126462297,0.0,0.0625,True,True
6,65,10,1,15,3,0.5,0.5,at_flat_radius,0.0,0.0,0.0,0.0625,0.0619049072265625,0.0006905448126462297,0.0,0.0625,True,True
6,65,10,1,15,3,0.5,0.7,outside_flat_basin,0.0,0.01999999999999999,0.01999999999999999,0.0625,0.0619049072265625,0.0006905448126462297,0.0,0.0625,True,False
6,65,11,1,7,1,0.0,0.0,inside_flat_basin,0.0,0.0,0.0,0.25,0.24737548828125,0.0027621522472559136,0.0,0.25,True,True
6,65,11,1,7,1,0.0,0.0,at_flat_radius,0.0,0.0,0.0,0.25,0.24737548828125,0.0027621522472559136,0.0,0.25,True,True
6,65,11,1,7,1,0.0,0.2,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.25,0.24737548828125,0.0027621522472559136,0.0,0.25,True,False
6,65,11,1,7,1,0.1,0.05,inside_flat_basin,0.0,0.0,0.0,0.2025,0.20037414550781257,0.00223734332027729,0.0,0.2025,True,True
6,65,11,1,7,1,0.1,0.1,at_flat_radius,0.0,0.0,0.0,0.2025,0.20037414550781257,0.00223734332027729,0.0,0.2025,True,True
6,65,11,1,7,1,0.1,0.30000000000000004,outside_flat_basin,0.0,0.020000000000000007,0.020000000000000007,0.2025,0.20037414550781257,0.00223734332027729,0.0,0.2025,True,False
6,65,11,1,7,1,0.25,0.125,inside_flat_basin,0.0,0.0,0.0,0.140625,0.13914871215820312,0.0015537106390814512,0.0,0.140625,True,True
6,65,11,1,7,1,0.25,0.25,at_flat_radius,0.0,0.0,0.0,0.140625,0.13914871215820312,0.0015537106390814512,0.0,0.140625,True,True
6,65,11,1,7,1,0.25,0.45,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.140625,0.13914871215820312,0.0015537106390814512,0.0,0.140625,True,False
6,65,11,1,7,1,0.5,0.25,inside_flat_basin,0.0,0.0,0.0,0.0625,0.0618438720703125,0.0006905380618139784,0.0,0.0625,True,True
6,65,11,1,7,1,0.5,0.5,at_flat_radius,0.0,0.0,0.0,0.0625,0.0618438720703125,0.0006905380618139784,0.0,0.0625,True,True
6,65,11,1,7,1,0.5,0.7,outside_flat_basin,0.0,0.01999999999999999,0.01999999999999999,0.0625,0.0618438720703125,0.0006905380618139784,0.0,0.0625,True,False
6,65,12,2,44,1,0.0,0.0,inside_flat_basin,0.0,0.0,0.0,0.25,0.24798583984375,0.002762214815542265,0.0,0.25,True,True
6,65,12,2,44,1,0.0,0.0,at_flat_radius,0.0,0.0,0.0,0.25,0.24798583984375,0.002762214815542265,0.0,0.25,True,True
6,65,12,2,44,1,0.0,0.2,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.25,0.24798583984375,0.002762214815542265,0.0,0.25,True,False
6,65,12,2,44,1,0.1,0.05,inside_flat_basin,0.0,0.0,0.0,0.2025,0.20086853027343757,0.002237394000589235,0.0,0.2025,True,True
6,65,12,2,44,1,0.1,0.1,at_flat_radius,0.0,0.0,0.0,0.2025,0.20086853027343757,0.002237394000589235,0.0,0.2025,True,True
